"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EGCK7SI3","journalArticle","2013","Marchesi, Isabella; Ferranti, Greta; Bargellini, Annalisa; Marchegiano, Patrizia; Predieri, Guerrino; Stout, Janet E.; Borella, Paola","Monochloramine and chlorine dioxide for controlling Legionella pneumophila contamination: biocide levels and disinfection by-product formation in hospital water networks","Journal of Water and Health","","1477-8920","10.2166/wh.2013.079","","Legionella colonization in hospital hot water distribution networks was evaluated following 36 months of continuous treatment with monochloramine and compared with chlorine dioxide. Nitrite, nitrate, chlorite, chlorate, bromide, trihalomethanes and haloacetic acids as well as the biocide concentration at sampled points were measured. Only 8/84 samples treated with monochloramine were found contaminated and after the first 8 months of treatment no Legionella was isolated. Chlorine dioxide was associated with a strong reduction in Legionella contamination compared to pre-treatment, but differences according to the device were observed. Monochloramine between 2 and 3 mg l(-1) and chlorine dioxide between 0.50 and 0.70 mg l(-1) were needed to control Legionella colonization. Comparing no- and post-flush samples, a higher frequency of no-flush positive samples was noted using chlorine dioxide, suggesting an increased risk for patients when they open the tap. No increase in chlorite levels and no water nitrification occurred by using monochloramine. Chlorite at levels exceeding the limit requested for drinking water was measured when chlorine dioxide was applied. In conclusion, we highlight that continuous injection of monochloramine should be considered as an effective alternative to chlorine dioxide in controlling legionellae contamination inside hospital water distribution systems.","2013-12","2016-04-21 18:39:46","2016-04-21 18:39:46","","738-747","","4","11","","J Water Health","Monochloramine and chlorine dioxide for controlling Legionella pneumophila contamination","","","","","","","eng","","","","","PubMed","","PMID: 24334848","","","http://www.ncbi.nlm.nih.gov/pubmed/24334848","G-B2013-12","Water Microbiology; Legionella pneumophila; Time Factors; Disinfectants; Hospitals; Water Purification; Chloramines; Chlorine Compounds; Oxides; Disinfection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRQ9BN2Z","journalArticle","2015","Baron, Julianne L.; Harris, J. Kirk; Holinger, Eric P.; Duda, Scott; Stevens, Mark J.; Robertson, Charles E.; Ross, Kimberly A.; Pace, Norman R.; Stout, Janet E.","Effect of monochloramine treatment on the microbial ecology of Legionella and associated bacterial populations in a hospital hot water system","Systematic and Applied Microbiology","","1618-0984","10.1016/j.syapm.2015.02.006","","Opportunistic pathogens, including Legionella spp. and non-tuberculous mycobacteria, can thrive in building hot water systems despite municipal and traditional on-site chlorine disinfection. Monochloramine is a relatively new approach to on-site disinfection, but the microbiological impact of on-site chloramine use has not been well studied. We hypothesized that comparison of the microbial ecology associated with monochloramine treatment versus no on-site treatment would yield highly dissimilar bacterial communities. Hot water samples were collected monthly from 7 locations for three months from two buildings in a Pennsylvania hospital complex supplied with common municipal water: (1) a hospital administrative building (no on-site treatment) and (2) an adjacent acute-care hospital treated on-site with monochloramine to control Legionella spp. Water samples were subjected to DNA extraction, rRNA PCR, and 454 pyrosequencing. Stark differences in the microbiome of the chloraminated water and the control were observed. Bacteria in the treated samples were primarily Sphingomonadales and Limnohabitans, whereas Flexibacter and Planctomycetaceae predominated in untreated control samples. Serendipitously, one sampling month coincided with dysfunction of the on-site disinfection system that resulted in a Legionella bloom detected by sequencing and culture. This study also demonstrates the potential utility of high-throughput DNA sequencing to monitor microbial ecology in water systems.","2015-05","2016-04-21 18:39:46","2016-04-21 18:39:46","","198-205","","3","38","","Syst. Appl. Microbiol.","","","","","","","","eng","","","","","PubMed","","PMID: 25840824","","","http://www.ncbi.nlm.nih.gov/pubmed/25840824","G-B2013-12","Water Microbiology; Polymerase Chain Reaction; Biota; Pennsylvania; Molecular Sequence Data; Ribosomal RNA; Sequence Analysis, DNA; Anti-Infective Agents; DNA, Bacterial; DNA, Ribosomal; Hospitals; Chloramines; Hot Temperature; 454 Pyrosequencing; Bacterial diversity; Legionella","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7R55VH4M","journalArticle","2014","Duda, Scott; Kandiah, Sheena; Stout, Janet E.; Baron, Julianne L.; Yassin, Mohamed; Fabrizio, Marie; Ferrelli, Juliet; Hariri, Rahman; Wagener, Marilyn M.; Goepfert, John; Bond, James; Hannigan, Joseph; Rogers, Denzil","Evaluation of a new monochloramine generation system for controlling Legionella in building hot water systems","Infection Control and Hospital Epidemiology","","1559-6834","10.1086/678418","","OBJECTIVE: To evaluate the efficacy of a new monochloramine generation system for control of Legionella in a hospital hot water distribution system. SETTING: A 495-bed tertiary care hospital in Pittsburgh, Pennsylvania. The hospital has 12 floors covering approximately 78,000 m(2). METHODS: The hospital hot water system was monitored for a total of 29 months, including a 5-month baseline sampling period prior to installation of the monochloramine system and 24 months of surveillance after system installation (postdisinfection period). Water samples were collected for microbiological analysis (Legionella species, Pseudomonas aeruginosa, Stenotrophomonas maltophilia, Acinetobacter species, nitrifying bacteria, heterotrophic plate count [HPC] bacteria, and nontuberculous mycobacteria). Chemical parameters monitored during the investigation included monochloramine, chlorine (free and total), nitrate, nitrite, total ammonia, copper, silver, lead, and pH. RESULTS: A significant reduction in Legionella distal site positivity was observed between the pre- and postdisinfection periods, with positivity decreasing from an average of 53% (baseline) to an average of 9% after monochloramine application (P<0.5]). Although geometric mean HPC concentrations decreased by approximately 2 log colony-forming units per milliliter during monochloramine treatment, we did not observe significant changes in other microbial populations. CONCLUSIONS: This is the first evaluation in the United States of a commercially available monochloramine system installed on a hospital hot water system for Legionella disinfection, and it demonstrated a significant reduction in Legionella colonization. Significant increases in microbial populations or other negative effects previously associated with monochloramine use in large municipal cold water systems were not observed.","2014-11","2016-04-21 18:39:46","2016-04-21 18:39:46","","1356-1363","","11","35","","Infect Control Hosp Epidemiol","","","","","","","","eng","","","","","PubMed","","PMID: 25333430","","","http://www.ncbi.nlm.nih.gov/pubmed/25333430","G-B2013-12","Water Microbiology; Acinetobacter; Pseudomonas aeruginosa; Humans; Disinfectants; Tertiary Care Centers; Water Purification; Water; Chloramines; Legionnaires' Disease; Stenotrophomonas maltophilia; Colony Count, Microbial; Hot Temperature; Disinfection; Legionella","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6WB8UCB","journalArticle","2012","Kooken, Jennifer M.; Fox, Karen F.; Fox, Alvin","Characterization of Micrococcus strains isolated from indoor air","Molecular and Cellular Probes","","0890-8508","10.1016/j.mcp.2011.09.003","http://www.sciencedirect.com/science/article/pii/S089085081100051X","The characterization of microbes, such as opportunists and pathogens (e.g., methicillin resistant Staphylococcus aureus [MRSA]), in indoor air is important for understanding disease transmission from person-to-person. Common genera found in the human skin microbiome include Micrococcus and Staphylococcus, but there only a limited number of tests to differentiate these genera and/or species. Both genera are believed to be released into indoor air from the shedding of human skin and are morphologically difficult to distinguish. In the current work, after the extraction of proteins from micrococci and the separation of these proteins on one dimensional electrophoretic gels, tryptic peptides were analyzed by MALDI TOF MS and the mass profiles compared with those of a reference strain (ATCC 4698). The results confirmed that all strains were consistent in identity with Micrococcus luteus.","2012-02","2016-04-21 18:53:15","2016-04-21 18:53:15","2016-04-21 18:53:15","1-5","","1","26","","Molecular and Cellular Probes","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\Sparhawk\Zotero\storage\VH9WSEGG\Kooken et al. - 2012 - Characterization of Micrococcus strains isolated f.pdf; C:\Users\Sparhawk\Zotero\storage\SM67CVHI\S089085081100051X.html","","","Mass spectrometry; MALDI TOF MS; Peptide markers; Micrococcus; indoor air","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIAX9EXH","journalArticle","2014","Baron, Julianne L.; Vikram, Amit; Duda, Scott; Stout, Janet E.; Bibby, Kyle","Shift in the Microbial Ecology of a Hospital Hot Water System following the Introduction of an On-Site Monochloramine Disinfection System","PLoS ONE","","1932-6203","10.1371/journal.pone.0102679","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4102543/","Drinking water distribution systems, including premise plumbing, contain a diverse microbiological community that may include opportunistic pathogens. On-site supplemental disinfection systems have been proposed as a control method for opportunistic pathogens in premise plumbing. The majority of on-site disinfection systems to date have been installed in hospitals due to the high concentration of opportunistic pathogen susceptible occupants. The installation of on-site supplemental disinfection systems in hospitals allows for evaluation of the impact of on-site disinfection systems on drinking water system microbial ecology prior to widespread application. This study evaluated the impact of supplemental monochloramine on the microbial ecology of a hospital’s hot water system. Samples were taken three months and immediately prior to monochloramine treatment and monthly for the first six months of treatment, and all samples were subjected to high throughput Illumina 16S rRNA region sequencing. The microbial community composition of monochloramine treated samples was dramatically different than the baseline months. There was an immediate shift towards decreased relative abundance of Betaproteobacteria, and increased relative abundance of Firmicutes, Alphaproteobacteria, Gammaproteobacteria, Cyanobacteria and Actinobacteria. Following treatment, microbial populations grouped by sampling location rather than sampling time. Over the course of treatment the relative abundance of certain genera containing opportunistic pathogens and genera containing denitrifying bacteria increased. The results demonstrate the driving influence of supplemental disinfection on premise plumbing microbial ecology and suggest the value of further investigation into the overall effects of premise plumbing disinfection strategies on microbial ecology and not solely specific target microorganisms.","2014-07-17","2016-04-21 18:57:01","2017-08-14 22:29:29","2016-04-21 18:57:01","","","7","9","","PLoS One","","","","","","","","","","","","","PubMed Central","","PMID: 25033448 PMCID: PMC4102543","","false; C:\Users\Sparhawk\Zotero\storage\PBEKAFU8\Baron et al. - 2014 - Shift in the Microbial Ecology of a Hospital Hot W.pdf; ; ","; http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4102543/; http://www.ncbi.nlm.nih.gov/pubmed/25033448","G-B2013-12","Water Microbiology; Biofilms; Base Sequence; RNA, Ribosomal, 16S; Cyanobacteria; Proteobacteria; Sequence Analysis, DNA; Actinobacteria; Disinfectants; Sanitary Engineering; Hospital Distribution Systems; DNA, Bacterial; Tertiary Care Centers; Water Purification; Water Quality; Chloramines; Drinking Water; Disinfection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S698MS5D","journalArticle","2015","Ma, Xiao; Baron, Julianne L.; Vikram, Amit; Stout, Janet E.; Bibby, Kyle","Fungal diversity and presence of potentially pathogenic fungi in a hospital hot water system treated with on-site monochloramine","Water Research","","1879-2448","10.1016/j.watres.2014.12.052","","Currently, our knowledge of fungal ecology in engineered drinking water systems is limited, despite the potential for these systems to serve as a reservoir for opportunistic pathogens. In this study, hot water samples were collected both prior to and following the addition of monochloramine as an on-site disinfectant in a hospital hot water system. Fungal ecology was then analyzed by high throughput sequencing of the fungal ITS1 region. The results demonstrate that the genera Penicillium, Aspergillus, Peniophora, Cladosporium and Rhodosporidium comprised the core fungal biome of the hospital hot water system. Penicillium dominated the fungal community with an average relative abundance of 88.89% (±6.37%). ITS1 sequences of fungal genera containing potential pathogens such as Aspergillus, Candida, and Fusarium were also detected in this study. No significant change in fungal community structure was observed before and after the initiation of on-site monochloramine water treatment. This work represents the first report of the effects of on-site secondary water disinfection on fungal ecology in premise plumbing system, and demonstrates the necessity of considering opportunistic fungal pathogens during the evaluation of secondary premise plumbing disinfection systems.","2015-03-15","2016-04-21 18:57:33","2016-04-21 18:57:33","","197-206","","","71","","Water Res.","","","","","","","","eng","","","","","PubMed","","PMID: 25618520","","","http://www.ncbi.nlm.nih.gov/pubmed/25618520","G-B2013-12","Fungi; Fungal ecology; Water Purification; Monochloramine; Chloramines; Premise plumbing; Basidiomycota; Secondary disinfection; Mitosporic Fungi; Drinking Water; Aspergillus; Disinfection; Penicillium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP8JVDKM","journalArticle","2012","Valm, Alex M.; Welch, Jessica L. Mark; Borisy, Gary G.","CLASI-FISH: Principles of Combinatorial Labeling and Spectral Imaging","Systematic and applied microbiology","","0723-2020","10.1016/j.syapm.2012.03.004","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407316/","Although the number of phylotypes present in a microbial community may number in the hundreds or more, until recently, fluorescence in situ hybridization has been used to label, at most, only a handful of different phylotypes in a single sample. We recently developed a technique, CLASI-FISH for Combinatorial Labeling and Spectral Imaging – Fluorescence in situ Hybridization, to greatly expand the number of distinguishable taxa in a single FISH experiment. The CLASI technique involves labeling microbes of interest with combinations of probes coupled with spectral imaging to allow the use of fluorophores with highly overlapping excitation and emission spectra. Here, we present the basic principles and theory of CLASI-FISH along with some guidelines for performing CLASI-FISH experiments. We further include a protocol for creating fluorescence spectral reference standards, a vital component of successful CLASI-FISH.","2012-12","2016-04-21 19:00:57","2016-04-21 19:00:57","2016-04-21 19:00:57","496-502","","8","35","","Syst Appl Microbiol","CLASI-FISH","","","","","","","","","","","","PubMed Central","","PMID: 22521573 PMCID: PMC3407316","","C:\Users\Sparhawk\Zotero\storage\GD5RMSCF\Valm et al. - 2012 - CLASI-FISH Principles of Combinatorial Labeling a.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407316/","G-2007-3-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VRIZW7S6","journalArticle","2011","Valm, Alex M.; Welch, Jessica L. Mark; Rieken, Christopher W.; Hasegawa, Yuko; Sogin, Mitchell L.; Oldenbourg, Rudolf; Dewhirst, Floyd E.; Borisy, Gary G.","Systems-level analysis of microbial community organization through combinatorial labeling and spectral imaging","Proceedings of the National Academy of Sciences of the United States of America","","0027-8424","10.1073/pnas.1101134108","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3054005/","Microbes in nature frequently function as members of complex multitaxon communities, but the structural organization of these communities at the micrometer level is poorly understood because of limitations in labeling and imaging technology. We report here a combinatorial labeling strategy coupled with spectral image acquisition and analysis that greatly expands the number of fluorescent signatures distinguishable in a single image. As an imaging proof of principle, we first demonstrated visualization of Escherichia coli labeled by fluorescence in situ hybridization (FISH) with 28 different binary combinations of eight fluorophores. As a biological proof of principle, we then applied this Combinatorial Labeling and Spectral Imaging FISH (CLASI-FISH) strategy using genus- and family-specific probes to visualize simultaneously and differentiate 15 different phylotypes in an artificial mixture of laboratory-grown microbes. We then illustrated the utility of our method for the structural analysis of a natural microbial community, namely, human dental plaque, a microbial biofilm. We demonstrate that 15 taxa in the plaque community can be imaged simultaneously and analyzed and that this community was dominated by early colonizers, including species of Streptococcus, Prevotella, Actinomyces, and Veillonella. Proximity analysis was used to determine the frequency of inter- and intrataxon cell-to-cell associations which revealed statistically significant intertaxon pairings. Cells of the genera Prevotella and Actinomyces showed the most interspecies associations, suggesting a central role for these genera in establishing and maintaining biofilm complexity. The results provide an initial systems-level structural analysis of biofilm organization.","2011-03-08","2016-04-21 19:01:26","2016-04-21 19:01:26","2016-04-21 19:01:26","4152-4157","","10","108","","Proc Natl Acad Sci U S A","","","","","","","","","","","","","PubMed Central","","PMID: 21325608 PMCID: PMC3054005","","C:\Users\Sparhawk\Zotero\storage\H4IJVM53\Valm et al. - 2011 - Systems-level analysis of microbial community orga.pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3054005/","G-2007-3-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66ZAU9ZG","journalArticle","2012","Corsi, Richard L; Kinney, Kerry A; Levin, Hal","Microbiomes of built environments: 2011 symposium highlights and workgroup recommendations","Indoor Air","","0905-6947","10.1111/j.1600-0668.2012.00782.x","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412220/","","2012-06","2016-04-21 19:05:22","2016-04-21 19:05:22","2016-04-21 19:05:22","171-172","","3","22","","Indoor Air","Microbiomes of built environments","","","","","","","","","","","","PubMed Central","","PMID: 22489819 PMCID: PMC3412220","","C:\Users\Sparhawk\Zotero\storage\7DWI8UA2\Corsi et al. - 2012 - Microbiomes of built environments 2011 symposium .pdf; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412220/","G-2010-5-30 IE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXHUZUHE","journalArticle","2011","Fox, Karen; Fox, Alvin; Rose, John; Walla, Michael","Speciation of coagulase negative staphylococci, isolated from indoor air, using SDS PAGE gel bands of expressed proteins followed by MALDI TOF MS and MALDI TOF-TOF MS-MS analysis of tryptic peptides","Journal of Microbiological Methods","","1872-8359","10.1016/j.mimet.2010.12.007","","A group of coagulase negative staphylococcal strains isolated from indoor air of occupied school rooms were the subject of this study. Conventional MALDI TOF MS profiling of cellular extracts and physiological tests (including API STAPH) provided incomplete identification of the set of strains. After separation of a 100 kDa band using 1D gel electrophoresis, profiling of peptides (released with tryptic digestion) using MALDI TOF MS allowed improved bacterial speciation in addition to determination of the identity of the protein of origin (aconitate hydratase). This was performed by Mascot search, empirical observation and computer-generated cross-correlation analysis of environmental isolates versus reference strains. The species studied included some with sequenced genomes and others with un-sequenced genomes. Peptide sequences were confirmed to originate from aconitate hydratase using MALDI TOF-TOF MS-MS analysis of a diverse set of m/z values representing variable and conserved sequences. The methodological approach described here might have widespread application in speciation of environmental isolates of diverse origin and in identification of their expressed proteins.","2011-02","2016-04-21 19:08:19","2016-04-21 19:08:19","","243-250","","2","84","","J. Microbiol. Methods","","","","","","","","eng","","","","","PubMed","","PMID: 21167877","","","http://www.ncbi.nlm.nih.gov/pubmed/21167877","G-2007-10-16","Bacteriological Techniques; Air Microbiology; Proteome; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization; Electrophoresis, Polyacrylamide Gel; Bacterial Proteins; Schools; Staphylococcus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
