title,publicationTitle,DOI
Microbial aerosol liberation from soiled textiles isolated during routine residuals handling in a modern health care setting,Microbiome,10.1186/s40168-015-0132-3
"Factors Influencing Bacterial Diversity and Community Composition in Municipal Drinking Waters in the Ohio River Basin, USA",PLOS ONE,10.1371/journal.pone.0157966
"Longitudinal and Source-to-Tap New Orleans, LA, U.S.A. Drinking Water Microbiology",Environmental Science & Technology,10.1021/acs.est.6b06064
Simulation of vertical concentration gradient of influenza viruses in dust resuspended by walking,Indoor Air,10.1111/ina.12156
Aerosolization of Ebola Virus Surrogates in Wastewater Systems,Environmental Science & Technology,10.1021/acs.est.6b04846
Ten questions concerning the aerosolization and transmission of Legionella in the built environment,Building and Environment,10.1016/j.buildenv.2017.06.024
Relative and contextual contribution of different sources to the composition and abundance of indoor air bacteria in residences,Microbiome,10.1186/s40168-015-0128-z
Cleanliness in context: reconciling hygiene with a modern microbial perspective,Microbiome,10.1186/s40168-017-0294-2
The 2015 New York City Legionnaires' Disease Outbreak: A Case Study on a History-Making Outbreak,Journal of public health management and practice: JPHMP,10.1097/PHH.0000000000000558
Urban greenness influences airborne bacterial community composition,Science of The Total Environment,10.1016/j.scitotenv.2016.07.037
Minimum information about a single amplified genome (MISAG) and a metagenome-assembled genome (MIMAG) of bacteria and archaea,Nature Biotechnology,10.1038/nbt.3893
A5-miseq: an updated pipeline to assemble microbial genomes from Illumina MiSeq data,Bioinformatics,10.1093/bioinformatics/btu661
Schrödinger's microbes: Tools for distinguishing the living from the dead in microbial ecosystems,Microbiome,10.1186/s40168-017-0285-3
Gut Check: The evolution of an educational board game,PLOS Biology,10.1371/journal.pbio.2001984
Research priorities for harnessing plant microbiomes in sustainable agriculture,PLOS Biology,10.1371/journal.pbio.2001793
A human exposome framework for guiding risk management and holistic assessment of recycled water quality,Environmental Science: Water Research & Technology,10.1039/C6EW00031B
The Microbiome of the Built Environment and Human Behavior: Implications for Emotional Health and Well-Being in Postmodern Western Societies,International Review of Neurobiology,10.1016/bs.irn.2016.07.006
What does the term microbiome mean? And where did it come from? A bit of a surprise ..,The Winnower,10.15200/winn.142971.16196
Xerotolerant Cladosporium sphaerospermum Are Predominant on Indoor Surfaces Compared to Other Cladosporium Species,PLoS ONE,10.1371/journal.pone.0145415
Validating bifidobacterial species and subspecies identity in commercial probiotic products,Pediatric Research,10.1038/pr.2015.244
Urban Transit System Microbial Communities Differ by Surface Type and Interaction with Humans and the Environment,mSystems,10.1128/mSystems.00018-16
Toward a Predictive Understanding of Earth’s Microbiomes to Address 21st Century Challenges,mBio,10.1128/mBio.00714-16
Toward a microbial Neolithic revolution in buildings,Microbiome,10.1186/s40168-016-0157-2
The Quest for a General and Reliable Fungal DNA Barcode,The Open Applied Informatics Journal,10.2174/1874136301005010045
The microbiome quality control project: baseline study design and future directions,Genome Biology,10.1186/s13059-015-0841-8
The Microbiome and Human Biology,Annual Review of Genomics and Human Genetics,10.1146/annurev-genom-083115-022438
The first microbial environment of infants born by C-section: the operating room microbes,Microbiome,10.1186/s40168-015-0126-1
The Fecal Microbial Community of Breast-fed Infants from Armenia and Georgia,Scientific Reports,10.1038/srep40932
The Biological Observation Matrix (BIOM) format or: how I learned to stop worrying and love the ome-ome,GigaScience,10.1186/2047-217X-1-7
Tests of the Single-hit DNA Damage Model,Journal of Molecular Biology,10.1016/j.jmb.2009.07.012
Ten questions concerning the microbiomes of buildings,Building and Environment,10.1016/j.buildenv.2016.09.001
Systems-level analysis of microbial community organization through combinatorial labeling and spectral imaging,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1101134108
"Summer indoor heat exposure and respiratory and cardiovascular distress calls in New York City, NY, U.S.",Indoor Air,10.1111/ina.12227
Summary of Sloan symposium: healthy buildings 2015-Europe,Microbiome,10.1186/s40168-015-0115-4
"Subsampled open-reference clustering creates consistent, comprehensive OTU definitions and scales to billions of sequences",PeerJ,10.7717/peerj.545
Specialized Transduction Designed for Precise High-Throughput Unmarked Deletions in Mycobacterium tuberculosis,mBio,10.1128/mBio.01245-14
Spatially extensive microbial biogeography of the Indian Ocean provides insights into the unique community structure of a pristine coral atoll,Scientific Reports,10.1038/srep15383
Size-resolved fluorescent biological aerosol particle concentrations and occupant emissions in a university classroom,Indoor Air,10.1111/ina.12111
Significant changes in the skin microbiome mediated by the sport of roller derby,PeerJ,10.7717/peerj.53
Shifts in the Microbial Community Composition of Gulf Coast Beaches Following Beach Oiling,PLoS ONE,10.1371/journal.pone.0074265
Shift in the Microbial Ecology of a Hospital Hot Water System following the Introduction of an On-Site Monochloramine Disinfection System,PLoS ONE,10.1371/journal.pone.0102679
Sharing and community curation of mass spectrometry data with Global Natural Products Social Molecular Networking,Nature Biotechnology,10.1038/nbt.3597
Shared signatures of parasitism and phylogenomics unite Cryptomycota and microsporidia,Current biology: CB,10.1016/j.cub.2013.06.057
Scopulariopsis and scopulariopsis-like species from indoor environments,Studies in Mycology,10.1016/j.simyco.2017.03.001
Remote monitoring of winery and creamery environments with a wireless sensor system,Building and Environment,10.1016/j.buildenv.2017.04.010
Rapid assemblage of diverse environmental fungal communities on public restroom floors,Indoor Air,10.1111/ina.12279
Quorum Sensing Influences Vibrio harveyi Growth Rates in a Manner Not Fully Accounted For by the Marker Effect of Bioluminescence,PLoS ONE,10.1371/journal.pone.0001671
Quantifying the size-resolved dynamics of indoor bioaerosol transport and control,Indoor Air,10.1111/ina.12374
Quantifying microbial communities with 454 pyrosequencing: does read abundance count?,Molecular Ecology,10.1111/j.1365-294X.2010.04898.x
Predictive functional profiling of microbial communities using 16S rRNA marker gene sequences,Nature biotechnology,10.1038/nbt.2676
Pilot study of sources and concentrations of size-resolved airborne particles in a neonatal intensive care unit,Building and Environment,10.1016/j.buildenv.2016.06.020
"Phylogeny, identification and nomenclature of the genus Aspergillus",Studies in Mycology,10.1016/j.simyco.2014.07.004
Ochratoxin production and taxonomy of the yellow aspergilli (Aspergillus section Circumdati),Studies in Mycology,10.1016/j.simyco.2014.07.001
Nuclear ribosomal internal transcribed spacer (ITS) region as a universal DNA barcode marker for Fungi,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1117018109
Novel titanium-based O3-type NaTi <sub>0.5</sub> Ni <sub>0.5</sub> O <sub>2</sub> as a cathode material for sodium ion batteries,Chem. Commun.,10.1039/C3CC47351A
Mother's littlest helpers,Science,10.1126/science.aac7436
Monochloramine and chlorine dioxide for controlling Legionella pneumophila contamination: biocide levels and disinfection by-product formation in hospital water networks,Journal of Water and Health,10.2166/wh.2013.079
Molecular analysis of point-of-use municipal drinking water microbiology,Water Research,10.1016/j.watres.2013.11.027
Moisture parameters and fungal communities associated with gypsum drywall in buildings,Microbiome,10.1186/s40168-015-0137-y
Mobile phones carry the personal microbiome of their owners,PeerJ,10.7717/peerj.447
MIxS-BE: a MIxS extension defining a minimum information standard for sequence data from the built environment,The ISME Journal,10.1038/ismej.2013.176
Microbiomes of built environments: 2011 symposium highlights and workgroup recommendations,Indoor Air,10.1111/j.1600-0668.2012.00782.x
Microbial analyses of airborne dust collected from dormitory rooms predict the sex of occupants,Indoor Air,10.1111/ina.12302
Microbes in the neonatal intensive care unit resemble those found in the gut of premature infants,Microbiome,10.1186/2049-2618-2-1
microBEnet: Lessons Learned from Building an Interdisciplinary Scientific Community in the Online Sphere,PLoS Biology,10.1371/journal.pbio.1001884
Methods to assess human occupancy and occupant activity in hospital patient rooms,Building and Environment,10.1016/j.buildenv.2015.03.029
Methodological approaches for monitoring opportunistic pathogens in premise plumbing: A review,Water Research,10.1016/j.watres.2017.03.046
Metatranscriptomics reveals temperature-driven functional changes in microbiome impacting cheese maturation rate,Scientific Reports,10.1038/srep21871
Mass Spectrometry-Based Visualization of Molecules Associated with Human Habitats,Analytical Chemistry,10.1021/acs.analchem.6b03456
MALDI-TOF mass spectrometry speciation of staphylococci and their discrimination from micrococci isolated from indoor air of schoolrooms,Journal of environmental monitoring: JEM,10.1039/b925250a
Longitudinal analysis of microbial interaction between humans and the indoor environment,"Science (New York, N.Y.)",10.1126/science.1254529
Life-threatening infectious diseases of childhood: single-gene inborn errors of immunity?: Genetic architecture of infectious diseases,Annals of the New York Academy of Sciences,10.1111/j.1749-6632.2010.05834.x
"Legionella DNA Markers in Tap Water Coincident with a Spike in Legionnaires’ Disease in Flint, MI",Environmental Science & Technology Letters,10.1021/acs.estlett.6b00192
Laboratory and Field Evaluation of Zyrox Fly Granular Bait Against Asian and German Cockroaches (Dictyoptera: Blattellidae),Journal of Economic Entomology,10.1093/jee/tow092
Keemei: cloud-based validation of tabular bioinformatics file formats in Google Sheets,GigaScience,10.1186/s13742-016-0133-6
Isolated communities of Epsilonproteobacteria in hydrothermal vent fluids of the Mariana Arc seamounts,FEMS Microbiology Ecology,10.1111/j.1574-6941.2010.00910.x
Insecticide resistance and nutrition interactively shape life-history parameters in German cockroaches,Scientific Reports,10.1038/srep28731
Innovation and constraint leading to complex multicellularity in the Ascomycota,Nature Communications,10.1038/ncomms14444
Inhalation intake fraction of particulate matter from localized indoor emissions,Building and Environment,10.1016/j.buildenv.2017.06.037
Influence of housing characteristics on bacterial and fungal communities in homes of asthmatic children,Indoor Air,10.1111/ina.12205
Indoor microbial communities: Influence on asthma severity in atopic and nonatopic children,The Journal of Allergy and Clinical Immunology,10.1016/j.jaci.2015.11.027
Indoor fungal composition is geographically patterned and more diverse in temperate zones than in the tropics,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1000454107
Indoor emissions as a primary source of airborne allergenic fungal particles in classrooms,Environmental Science & Technology,10.1021/es506165z
"Indoor airborne bacterial communities are influenced by ventilation, occupancy, and outdoor air source",Indoor Air,10.1111/ina.12047
Implementation Trends for Rainwater-Harvesting Technologies and Strategies and Their Relationship with Building Information Modeling,Journal of Architectural Engineering,10.1061/(ASCE)AE.1943-5568.0000228
Impact of sampler selection on the characterization of the indoor microbiome via high-throughput sequencing,Building and Environment,10.1016/j.buildenv.2014.04.021
Identification of Oligosaccharides in Feces of Breast-fed Infants and Their Correlation with the Gut Microbial Community,Molecular & cellular proteomics: MCP,10.1074/mcp.M116.060665
Identification and nomenclature of the genus Penicillium,Studies in Mycology,10.1016/j.simyco.2014.09.001
"Identical bacterial populations colonize premature infant gut, skin, and oral microbiomes and exhibit different in situ growth rates",Genome Research,10.1101/gr.213256.116
How do we make indoor environments and healthcare settings healthier?,Microbial Biotechnology,10.1111/1751-7915.12430
House dust exposure mediates gut microbiome Lactobacillus enrichment and airway immune defense against allergens and virus infection,Proceedings of the National Academy of Sciences,10.1073/pnas.1310750111
Hospital-associated microbiota and implications for nosocomial infections,Trends in Molecular Medicine,10.1016/j.molmed.2015.03.005
High temporal variability in airborne bacterial diversity and abundance inside single-family residences,Indoor Air,10.1111/ina.12347
"Gut bacteria are rarely shared by co-hospitalized premature infants, regardless of necrotizing enterocolitis development",eLife,10.7554/eLife.05477
Growth of 48 built environment bacterial isolates on board the International Space Station (ISS),PeerJ,10.7717/peerj.1842
Genome of the pathogen Porphyromonas gingivalis recovered from a biofilm in a hospital sink using a high-throughput single-cell genomics platform,Genome Research,10.1101/gr.150433.112
Fungal Planet description sheets: 469?557,Persoonia - Molecular Phylogeny and Evolution of Fungi,10.3767/003158516X694499
"From commensalism to mutualism: integrating the microbial ecology, building science, and indoor air communities to advance research on the indoor microbiome",Indoor Air,10.1111/ina.12167
Formation of environmentally persistent free radicals from the heterogeneous reaction of ozone and polycyclic aromatic compounds,Physical Chemistry Chemical Physics,10.1039/C5CP05606C
"Finding needles in haystacks: linking scientific names, reference specimens and molecular data for Fungi",Database,10.1093/database/bau061
Factors Shaping the Human Exposome in the Built Environment: Opportunities for Engineering Control,Environmental Science & Technology,10.1021/acs.est.7b01097
Extensive sequencing of seven human genomes to characterize benchmark reference materials,Scientific Data,10.1038/sdata.2016.25
Exploring the microbiome of the built environment: A primer on four biological methods available to building professionals,HVAC&R Research,10.1080/10789669.2013.840524
Exploring the binding properties and structural stability of an opsin in the chytrid Spizellomyces punctatus using comparative and molecular modeling,PeerJ,10.7717/peerj.3206
